user_id,crowd_r,crowd_concordance,knn_concordance,eigentaste_concordance,gap_knn_minus_crowd,gap_train_only,crowd_nmae,knn_nmae,train_mean,train_std
15799,0.3015,0.5961,0.5948,0.6118,-0.0013,0.0002,0.1454,0.1131,2.581,3.731
1389,0.4947,0.6505,0.6492,0.5995,-0.0013,-0.0374,0.2524,0.1672,3.606,4.799
19051,0.5074,0.6087,0.6074,0.5982,-0.0013,-0.0234,0.2941,0.1641,4.158,6.668
8827,0.1810,0.6702,0.6689,0.5989,-0.0013,0.0971,0.2902,0.1134,6.286,4.929
1402,0.1096,0.6343,0.6330,0.6263,-0.0013,0.0143,0.3660,0.1347,6.938,4.157
13367,0.3433,0.5279,0.5266,0.5705,-0.0013,0.0850,0.3537,0.1485,5.666,5.158
9918,0.2912,0.6774,0.6761,0.6210,-0.0013,0.0802,0.4363,0.1211,-7.264,3.832
17924,0.5101,0.6320,0.6306,0.6484,-0.0015,0.0103,0.1179,0.1107,2.039,3.159
18543,0.5027,0.6962,0.6936,0.6615,-0.0026,-0.0162,0.2815,0.1895,-4.319,4.960
12328,0.2881,0.6021,0.5995,0.6393,-0.0026,-0.0151,0.1207,0.1125,-0.158,2.379
13227,0.3203,0.6290,0.6264,0.6598,-0.0026,0.0023,0.2248,0.1879,2.416,5.723
996,0.3709,0.7510,0.7484,0.7741,-0.0026,0.0783,0.1781,0.1059,-1.266,3.586
15781,0.3178,0.6598,0.6573,0.6650,-0.0026,0.0495,0.2478,0.2312,-0.043,5.279
7524,0.3289,0.6260,0.6234,0.6298,-0.0026,-0.0163,0.1219,0.1253,0.546,2.749
6453,0.5441,0.7198,0.7172,0.7519,-0.0026,0.0455,0.0855,0.0820,1.897,2.312
24359,0.2646,0.5784,0.5758,0.5771,-0.0026,0.0600,0.2207,0.2000,-1.442,4.806
19476,0.5468,0.7802,0.7776,0.7712,-0.0026,0.0115,0.1090,0.0856,0.799,2.868
19380,0.3762,0.6260,0.6234,0.5771,-0.0026,-0.0264,0.1832,0.1540,2.908,3.700
20898,0.3944,0.6838,0.6812,0.6221,-0.0026,-0.0313,0.0874,0.0938,1.216,2.479
7269,0.5391,0.6684,0.6658,0.6324,-0.0026,0.0000,0.1826,0.1764,-0.162,5.425
21945,0.3733,0.6671,0.6645,0.6620,-0.0026,-0.0197,0.1581,0.1572,-1.001,4.087
6012,0.5163,0.6795,0.6770,0.6126,-0.0026,0.0417,0.1590,0.1160,3.036,3.907
8643,0.2776,0.6384,0.6358,0.6010,-0.0026,-0.0196,0.2063,0.1472,3.322,4.049
5636,0.3791,0.6435,0.6409,0.6384,-0.0026,0.0001,0.1302,0.1249,0.055,3.205
196,0.5074,0.6795,0.6770,0.6834,-0.0026,0.0035,0.1315,0.1036,2.225,2.668
8979,0.6318,0.7091,0.7066,0.7233,-0.0026,-0.0000,0.1776,0.1536,-0.224,4.692
24875,0.4432,0.6152,0.6126,0.6049,-0.0026,0.0150,0.2335,0.1945,3.350,4.595
8318,0.4773,0.6152,0.6126,0.5997,-0.0026,0.0566,0.1434,0.1317,0.747,4.276
